User_Id,Place_Id,Place_Ratings
1,393,5
1,405,5
1,428,3
2,413,3
2,437,5
2,407,5
2,437,4
2,426,4
3,421,3
4,409,3
4,406,3
5,421,4
5,436,5
5,395,2
5,434,4
5,397,5
5,407,3
5,433,4
5,420,3
6,433,4
6,398,5
6,393,2
6,410,2
8,393,5
8,395,5
8,433,4
9,402,3
9,406,4
9,402,3
9,417,4
9,403,3
9,420,5
9,416,4
10,405,3
11,430,3
11,406,4
12,429,3
12,402,3
13,398,2
13,398,2
13,422,4
13,437,5
13,406,2
14,422,4
14,396,2
14,435,5
15,435,3
15,434,2
15,417,3
16,434,3
16,414,5
16,413,4
17,406,5
17,410,4
17,414,4
17,398,3
17,398,4
18,405,5
18,412,2
18,413,2
18,426,2
18,399,3
19,417,3
19,395,2
19,418,4
19,400,2
19,432,4
19,426,5
19,430,4
19,393,3
20,429,3
20,404,2
20,425,4
20,425,3
21,413,5
21,411,4
21,427,4
21,412,5
22,420,5
22,435,2
23,434,2
23,398,4
23,432,2
24,427,5
25,392,4
25,416,5
25,423,3
25,406,5
26,406,5
26,422,3
26,421,5
27,393,3
27,408,2
28,399,5
28,416,4
28,401,4
28,417,4
28,398,2
28,397,5
29,402,5
29,397,4
29,429,3
29,418,4
30,434,3
30,431,4
30,400,4
31,409,2
31,397,4
31,402,2
32,407,3
32,418,2
32,433,3
32,402,5
33,416,3
33,416,5
33,416,5
33,429,2
33,435,4
34,423,3
34,433,4
35,426,2
35,402,5
35,395,2
36,414,4
37,433,4
37,396,3
37,413,3
37,404,3
38,411,5
38,401,5
39,408,4
40,402,4
40,410,5
40,397,3
40,434,4
41,432,5
41,427,4
41,396,3
42,421,3
42,423,3
43,410,3
43,415,2
43,406,3
43,396,4
43,429,3
43,394,2
44,401,2
44,424,5
44,392,3
44,405,3
45,416,4
46,395,2
46,414,5
46,397,3
47,433,5
47,403,3
48,426,4
48,406,3
48,418,2
49,420,2
49,404,4
49,401,1
49,425,4
49,395,2
49,424,4
50,437,5
50,401,5
50,425,2
51,433,5
51,421,5
51,417,4
52,436,2
52,417,1
53,416,5
53,398,3
54,418,1
54,415,3
54,409,5
54,409,2
54,422,3
54,416,5
55,422,5
55,434,2
55,419,2
55,406,3
56,410,2
57,413,3
57,413,3
58,403,1
58,430,5
58,405,2
58,398,3
58,422,5
58,408,5
59,393,3
60,427,5
60,422,5
60,423,2
61,410,3
61,399,5
61,437,5
62,401,5
63,429,1
63,437,4
63,402,4
63,428,5
64,428,4
64,430,1
64,402,4
65,417,2
65,423,2
65,394,4
65,400,1
66,437,2
66,407,5
66,409,1
67,430,3
67,408,1
67,425,2
67,416,5
68,425,5
68,420,4
68,401,5
68,396,5
68,427,3
69,393,1
70,437,4
70,433,1
70,431,2
70,428,1
70,413,5
71,402,4
71,404,2
72,404,4
72,400,1
72,401,2
72,406,1
73,393,4
73,399,1
74,397,2
74,419,3
74,414,4
74,434,4
74,422,1
74,408,2
74,398,3
75,423,1
75,425,5
76,402,4
76,422,3
76,411,2
76,436,2
76,410,4
77,411,3
77,433,2
77,419,3
77,430,1
78,416,3
78,407,5
78,407,4
78,401,3
79,395,3
79,430,3
79,416,1
80,436,2
80,424,1
80,431,5
80,432,3
80,437,3
81,427,4
81,419,1
81,437,3
82,405,2
82,428,1
82,393,5
82,412,1
82,433,4
82,425,5
82,402,5
83,406,1
83,394,1
83,415,1
83,421,4
84,402,1
84,423,4
84,410,1
84,405,4
85,398,4
86,425,3
86,420,3
87,411,5
87,421,2
88,403,1
89,402,4
89,408,1
89,430,3
90,417,2
90,406,1
90,401,3
91,425,1
91,430,2
91,412,4
91,430,3
91,419,2
91,405,2
91,405,1
92,405,5
92,420,5
93,431,5
93,426,5
93,437,5
93,411,1
93,411,1
93,434,4
94,413,2
94,400,5
94,427,4
94,421,2
94,409,3
94,415,1
94,416,5
96,402,2
96,416,5
96,403,1
97,394,4
98,419,5
98,428,4
98,404,2
98,437,2
99,424,1
99,437,4
99,394,3
99,415,4
100,415,1
100,399,3
100,429,2
100,425,5
100,413,2
100,437,2
101,430,1
101,436,5
101,430,3
101,423,3
101,420,3
102,423,1
102,398,3
102,432,3
103,403,1
103,400,4
104,393,2
105,414,3
105,419,5
106,424,2
106,430,5
106,395,4
106,432,4
107,407,2
107,401,3
107,407,4
108,416,5
108,418,1
108,395,5
108,424,4
108,392,5
109,429,4
109,408,1
110,423,1
110,434,3
110,410,1
111,418,1
